0.010 5.002 70
70
0.010	0.588
0.011	0.621
0.013	0.655
0.014	0.689
0.015	0.724
0.016	0.759
0.018	0.795
0.019	0.831
0.020	0.868
0.023	0.941
0.025	1.014
0.028	1.087
0.030	1.158
0.033	1.229
0.035	1.299
0.040	1.434
0.045	1.563
0.050	1.685
0.055	1.802
0.060	1.912
0.065	2.017
0.070	2.117
0.075	2.211
0.080	2.302
0.085	2.388
0.090	2.470
0.100	2.624
0.113	2.798
0.125	2.956
0.138	3.100
0.150	3.231
0.163	3.352
0.175	3.462
0.188	3.565
0.200	3.659
0.225	3.828
0.250	3.974
0.275	4.101
0.300	4.212
0.325	4.308
0.350	4.393
0.400	4.533
0.450	4.642
0.500	4.727
0.550	4.792
0.600	4.842
0.650	4.879
0.700	4.907
0.750	4.925
0.800	4.936
0.850	4.942
0.900	4.942
1.000	4.930
1.125	4.896
1.251	4.848
1.376	4.791
1.501	4.726
1.626	4.658
1.751	4.586
1.876	4.513
2.001	4.439
2.251	4.339
2.501	4.206
2.751	4.081
3.001	3.960
3.251	3.843
3.501	3.732
4.002	3.524
4.502	3.337
5.002	3.169
