0.025 4.545 59
59
0.025  0.5171
0.027  0.5577
0.030  0.5975
0.032  0.6362
0.036  0.7106
0.041  0.7806
0.045  0.8467
0.050  0.909
0.055  0.968
0.059  1.024
0.064  1.077
0.068  1.128
0.073  1.176
0.077	 1.223
0.082	 1.267
0.091	 1.352
0.102	 1.45
0.114	 1.54
0.125	 1.625
0.136	 1.704
0.148	 1.779
0.159	 1.85
0.170	 1.917
0.182	 1.98
0.205	 2.099
0.227	 2.207
0.250	 2.306
0.273	 2.397
0.295  2.481
0.318	 2.559
0.364	 2.698
0.409	 2.817
0.455	 2.919
0.500	 3.007
0.545	 3.081
0.591	 3.144
0.636	 3.197
0.682	 3.241
0.727	 3.277
0.773	 3.307
0.818	 3.33
0.909	 3.364
1.023	 3.385
1.136	 3.389
1.250	 3.381
1.364  3.364
1.477  3.342
1.591  3.315
1.705  3.285
1.818  3.253
2.045  3.191
2.273  3.132
2.500  3.059
2.727  2.989
2.955  2.921
3.182  2.855
3.636  2.732
4.091  2.619
4.545  2.517
