0.010 5.002 70
70
0.010	0.707
0.011	0.762
0.013	0.819
0.014	0.877
0.015	0.937
0.016	0.998
0.018	1.058
0.019	1.119
0.020	1.179
0.023	1.298
0.025	1.413
0.028	1.524
0.030	1.629
0.033	1.730
0.035	1.826
0.040	2.003
0.045	2.163
0.050	2.308
0.055	2.441
0.060	2.563
0.065	2.678
0.070	2.786
0.075	2.888
0.080	2.985
0.085	3.078
0.090	3.168
0.100	3.338
0.113	3.537
0.125	3.722
0.138	3.897
0.150	4.061
0.163	4.217
0.175	4.364
0.188	4.504
0.200	4.636
0.225	4.881
0.250	5.101
0.275	5.299
0.300	5.478
0.325	5.638
0.350	5.783
0.400	6.029
0.450	6.227
0.500	6.385
0.550	6.511
0.600	6.608
0.650	6.683
0.700	6.739
0.750	6.778
0.800	6.804
0.850	6.819
0.900	6.823
1.000	6.809
1.125	6.758
1.251	6.681
1.376	6.589
1.501	6.485
1.626	6.375
1.751	6.262
1.876	6.147
2.001	6.032
2.251	5.880
2.501	5.683
2.751	5.501
3.001	5.326
3.251	5.161
3.501	5.005
4.002	4.719
4.502	4.463
5.002	4.235
