0.010 5.002 70
70
0.010	0.620
0.011	0.669
0.013	0.720
0.014	0.770
0.015	0.821
0.016	0.871
0.018	0.920
0.019	0.970
0.020	1.018
0.023	1.112
0.025	1.203
0.028	1.290
0.030	1.374
0.033	1.455
0.035	1.532
0.040	1.677
0.045	1.812
0.050	1.938
0.055	2.056
0.060	2.167
0.065	2.273
0.070	2.373
0.075	2.469
0.080	2.561
0.085	2.650
0.090	2.735
0.100	2.898
0.113	3.088
0.125	3.266
0.138	3.433
0.150	3.591
0.163	3.740
0.175	3.881
0.188	4.015
0.200	4.142
0.225	4.377
0.250	4.588
0.275	4.779
0.300	4.951
0.325	5.105
0.350	5.244
0.400	5.481
0.450	5.672
0.500	5.825
0.550	5.947
0.600	6.043
0.650	6.118
0.700	6.175
0.750	6.217
0.800	6.246
0.850	6.266
0.900	6.276
1.000	6.275
1.125	6.244
1.251	6.190
1.376	6.121
1.501	6.042
1.626	5.956
1.751	5.867
1.876	5.775
2.001	5.682
2.251	5.507
2.501	5.304
2.751	5.135
3.001	4.973
3.251	4.819
3.501	4.673
4.002	4.402
4.502	4.159
5.002	3.941
